address1,address2
BANCROFT AVE,106TH AVE
MACARTHUR BLVD,106TH AVE
HEGENBERGER EXPRESSWAY,HAMILTON ST
MLK JR. WAY,45TH ST
SHATTUCK AVE,52ND ST
7TH ST,5TH AVE_E8TH ST
TELEGRAPH AVE,55TH ST
MORAGA AVE,MEDAU PL
AIRPORT DR,NEIL ARMSTRONG WAY
HARRISON ST,7TH ST
BANCROFT AVE,HAVENSCOURT BLVD
MLK JR. WAY,53RD ST
PERALTA,14TH ST
EDGEWATER DR,OAKPORT ST
MARKET ST,7TH ST
HARRISON ST,13TH ST
HARRISON ST,27TH ST
MACARTHUR BLVD,WEST ST
E.15TH ST,14TH AVE_MARIN
MARKET ST,35TH ST
PARK BLVD,LEIMERT BLVD
HIGH ST,HOWARD ST
TELEGRAPH AVE,26TH ST
WEBSTER,19TH ST
MACARTHUR BLVD,35TH AVE
COLLEGE AVE,CLAREMONT AVE
INTERNATIONAL BLVD,38TH AVE
AIRPORT DR,AIRPORT TERMINAL CROSSWALK 1
E.15TH ST,5TH  AVE
HIGH ST,REDDING ST
