OBJECTID,TYPE,STREET ADDRESS,CITY/STATE
460,Street Lights,6218 AUBURN AV,"Oakland, CA"
461,Street Lights,6206 AUBURN AV,"Oakland, CA"
462,Street Lights,6381 FLORIO ST,"Oakland, CA"
463,Street Lights,6351 FLORIO ST,"Oakland, CA"
464,Street Lights,6200 COLLEGE AV,"Oakland, CA"
465,Street Lights,6256 COLLEGE AV,"Oakland, CA"
466,Street Lights,6250 FLORIO ST,"Oakland, CA"
467,Street Lights,6221 FLORIO ST,"Oakland, CA"
468,Street Lights,6200 CLAREMONT AV,"Oakland, CA"
469,Street Lights,6058 COLLEGE AV,"Oakland, CA"
470,Street Lights,300 62ND ST,"Oakland, CA"
471,Street Lights,331 62ND ST,"Oakland, CA"
472,Street Lights,6400 BENVENUE AV,"Oakland, CA"
